Tiempo de predicción,Año,Presupuesto de horas,Horas acertadas
3,2024,210,46
3,2024,220,48
3,2024,230,48
3,2024,240,50
3,2024,250,52
3,2024,260,52
3,2024,270,53
3,2024,280,54
3,2024,290,54
3,2024,300,56
3,2024,310,59
3,2024,320,61
3,2024,330,62
3,2024,340,63
3,2024,350,64
3,2024,360,64
3,2024,370,64
3,2024,380,64
3,2024,390,66
3,2024,400,68
2,2024,10,1
2,2024,20,6
2,2024,30,9
2,2024,40,14
2,2024,50,20
2,2024,60,24
2,2024,70,27
2,2024,80,32
2,2024,90,32
2,2024,100,37
2,2024,110,38
2,2024,120,40
2,2024,130,42
2,2024,140,43
2,2024,150,45
2,2024,160,45
2,2024,170,46
2,2024,180,47
2,2024,190,49
2,2024,200,51
2,2024,210,52
2,2024,220,52
2,2024,230,53
2,2024,240,56
2,2024,250,56
2,2024,260,56
2,2024,270,60
2,2024,280,63
2,2024,290,63
2,2024,300,64
2,2024,310,65
2,2024,320,66
2,2024,330,68
2,2024,340,68
2,2024,350,70
2,2024,360,73
2,2024,370,74
2,2024,380,75
2,2024,390,76
2,2024,400,76
1,2024,10,5
1,2024,20,9
1,2024,30,12
1,2024,40,19
1,2024,50,23
1,2024,60,27
1,2024,70,29
1,2024,80,32
1,2024,90,35
1,2024,100,39
1,2024,110,40
1,2024,120,44
1,2024,130,46
1,2024,140,49
1,2024,150,51
1,2024,160,53
1,2024,170,56
1,2024,180,57
1,2024,190,57
1,2024,200,58
1,2024,210,60
1,2024,220,63
1,2024,230,65
1,2024,240,66
1,2024,250,69
1,2024,260,69
1,2024,270,70
1,2024,280,71
1,2024,290,73
1,2024,300,73
1,2024,310,73
1,2024,320,75
1,2024,330,76
1,2024,340,76
1,2024,350,76
1,2024,360,78
1,2024,370,79
1,2024,380,79
1,2024,390,79
1,2024,400,81
168,2025,10,0
168,2025,20,0
168,2025,30,3
168,2025,40,4
168,2025,50,7
168,2025,60,9
168,2025,70,15
168,2025,80,17
168,2025,90,17
168,2025,100,19
168,2025,110,20
168,2025,120,23
168,2025,130,26
168,2025,140,27
168,2025,150,30
168,2025,160,31
168,2025,170,32
168,2025,180,33
168,2025,190,34
168,2025,200,36
168,2025,210,38
168,2025,220,41
168,2025,230,44
168,2025,240,45
168,2025,250,46
168,2025,260,47
168,2025,270,50
168,2025,280,51
168,2025,290,52
168,2025,300,53
168,2025,310,54
168,2025,320,54
168,2025,330,55
168,2025,340,57
168,2025,350,57
168,2025,360,59
168,2025,370,61
168,2025,380,61
168,2025,390,61
168,2025,400,63
24,2025,10,6
24,2025,20,7
24,2025,30,9
24,2025,40,12
24,2025,50,13
24,2025,60,16
24,2025,70,17
24,2025,80,18
24,2025,90,20
24,2025,100,21
24,2025,110,21
24,2025,120,22
24,2025,130,23
24,2025,140,25
24,2025,150,26
24,2025,160,26
24,2025,170,28
24,2025,180,28
24,2025,190,28
24,2025,200,28
24,2025,210,28
24,2025,220,28
24,2025,230,29
24,2025,240,30
24,2025,250,30
24,2025,260,31
24,2025,270,33
24,2025,280,35
24,2025,290,36
24,2025,300,37
24,2025,310,37
24,2025,320,37
24,2025,330,38
24,2025,340,39
24,2025,350,40
24,2025,360,42
24,2025,370,43
24,2025,380,45
24,2025,390,47
24,2025,400,47
6,2025,10,4
6,2025,20,8
6,2025,30,15
6,2025,40,19
6,2025,50,22
6,2025,60,23
6,2025,70,24
6,2025,80,28
6,2025,90,30
6,2025,100,31
6,2025,110,33
6,2025,120,34
6,2025,130,35
6,2025,140,36
6,2025,150,38
6,2025,160,39
6,2025,170,40
6,2025,180,41
6,2025,190,44
6,2025,200,45
6,2025,210,46
6,2025,220,47
6,2025,230,48
6,2025,240,48
6,2025,250,48
6,2025,260,49
6,2025,270,50
6,2025,280,50
6,2025,290,52
6,2025,300,52
6,2025,310,52
6,2025,320,54
6,2025,330,54
6,2025,340,56
6,2025,350,56
6,2025,360,57
6,2025,370,58
6,2025,380,60
6,2025,390,61
6,2025,400,62
3,2025,10,0
3,2025,20,1
3,2025,30,3
3,2025,40,3
3,2025,50,7
3,2025,60,8
3,2025,70,13
3,2025,80,16
3,2025,90,19
3,2025,100,20
3,2025,110,23
3,2025,120,27
3,2025,130,28
3,2025,140,29
3,2025,150,31
3,2025,160,31
3,2025,170,32
3,2025,180,34
3,2025,190,35
3,2025,200,35
3,2025,210,36
3,2025,220,36
3,2025,230,36
3,2025,240,38
3,2025,250,39
3,2025,260,40
3,2025,270,40
3,2025,280,42
3,2025,290,43
3,2025,300,43
3,2025,310,43
3,2025,320,43
3,2025,330,44
3,2025,340,45
3,2025,350,45
3,2025,360,45
3,2025,370,46
3,2025,380,48
3,2025,390,50
3,2025,400,50
2,2025,10,1
2,2025,20,2
2,2025,30,4
2,2025,40,5
2,2025,50,7
2,2025,60,9
2,2025,70,13
2,2025,80,14
2,2025,90,17
2,2025,100,20
2,2025,110,22
2,2025,120,24
2,2025,130,25
2,2025,140,27
2,2025,150,27
2,2025,160,28
2,2025,170,29
2,2025,180,30
2,2025,190,33
2,2025,200,34
2,2025,210,36
2,2025,220,37
2,2025,230,38
2,2025,240,40
2,2025,250,41
2,2025,260,41
2,2025,270,42
2,2025,280,42
2,2025,290,43
2,2025,300,44
2,2025,310,45
2,2025,320,46
2,2025,330,47
2,2025,340,47
2,2025,350,47
2,2025,360,48
2,2025,370,48
2,2025,380,48
2,2025,390,48
2,2025,400,49
1,2025,10,2
1,2025,20,8
1,2025,30,10
1,2025,40,14
1,2025,50,15
1,2025,60,16
1,2025,70,19
1,2025,80,21
1,2025,90,23
1,2025,100,23
1,2025,110,24
1,2025,120,26
1,2025,130,27
1,2025,140,29
1,2025,150,31
1,2025,160,34
1,2025,170,35
1,2025,180,36
1,2025,190,36
1,2025,200,36
1,2025,210,36
1,2025,220,38
1,2025,230,38
1,2025,240,40
1,2025,250,40
1,2025,260,42
1,2025,270,43
1,2025,280,46
1,2025,290,46
1,2025,300,48
1,2025,310,50
1,2025,320,52
1,2025,330,53
1,2025,340,54
1,2025,350,54
1,2025,360,55
1,2025,370,56
1,2025,380,56
1,2025,390,57
1,2025,400,57
